from	to	weight	type
4512432	2097240	1	askerAnswerer
8926217	2099607	1	askerAnswerer
8926217	8563649	1	askerAnswerer
8926217	7699859	1	askerAnswerer
8926217	7478712	1	askerAnswerer
8926217	1873877	1	askerAnswerer
3755166	7582987	1	askerAnswerer
10020470	3994228	1	askerAnswerer
10020470	5140223	1	askerAnswerer
11694587	5668710	1	askerAnswerer
11464742	349130	1	askerAnswerer
6458245	11588671	1	askerAnswerer
6458245	3250829	1	askerAnswerer
6458245	349130	1	askerAnswerer
10245126	11134789	1	askerAnswerer
3101671	3101671	1	askerAnswerer
7031557	7031557	1	askerAnswerer
7031557	6345906	1	askerAnswerer
7031557	1277836	1	askerAnswerer
7855237	4790871	1	askerAnswerer
3993741	712995	1	askerAnswerer
3993741	3239404	1	askerAnswerer
11336168	3080953	1	askerAnswerer
9312824	712995	1	askerAnswerer
9312824	3524844	1	askerAnswerer
9312824	8468326	1	askerAnswerer
8372455	11065347	1	askerAnswerer
8372455	9140084	1	askerAnswerer
1324765	2097240	1	askerAnswerer
1324765	1906450	1	askerAnswerer
2137798	5597718	1	askerAnswerer
9585135	5741205	1	askerAnswerer
8967714	5131287	1	askerAnswerer
5175253	10960882	1	askerAnswerer
7104787	1234909	1	askerAnswerer
588855	4238408	1	askerAnswerer
8210488	4867531	1	askerAnswerer
6561580	3827807	1	askerAnswerer
6561580	9427281	1	askerAnswerer
7009011	2099607	1	askerAnswerer
10799089	10330116	1	askerAnswerer
10799089	10799089	1	askerAnswerer
4509378	5763590	1	askerAnswerer
4509378	3584765	1	askerAnswerer
10083164	10498246	1	askerAnswerer
10716620	10330116	1	askerAnswerer
10716620	10454790	1	askerAnswerer
8916723	5108062	1	askerAnswerer
8916723	8916723	1	askerAnswerer
1115237	2266772	1	askerAnswerer
1115237	6347629	1	askerAnswerer
1115237	890242	1	askerAnswerer
626537	1749629	1	askerAnswerer
626537	349130	1	askerAnswerer
10039556	9415043	1	askerAnswerer
7313100	2099607	1	askerAnswerer
7313100	7313100	1	askerAnswerer
7846405	2099607	1	askerAnswerer
10280951	349130	1	askerAnswerer
7977534	5230735	1	askerAnswerer
7942047	9415043	1	askerAnswerer
10186104	6077443	1	askerAnswerer
8926217	5495381	1	askerAnswerer
8926217	5495381	1	askerAnswerer
8926217	562769	1	askerAnswerer
5025377	5495381	1	askerAnswerer
305665	349130	1	askerAnswerer
5904928	3867406	1	askerAnswerer
9328846	2099607	1	askerAnswerer
8100895	7984359	1	askerAnswerer
8798570	8794168	1	askerAnswerer
9175281	9758922	1	askerAnswerer
3993741	8841462	1	askerAnswerer
3993741	7770781	1	askerAnswerer
1578967	6659511	1	askerAnswerer
1578967	2097240	1	askerAnswerer
1578967	712995	1	askerAnswerer
1578967	3976345	1	askerAnswerer
9203595	3827807	1	askerAnswerer
6115065	6115065	1	askerAnswerer
7153699	5324310	1	askerAnswerer
7153699	349130	1	askerAnswerer
8538125	3881984	1	askerAnswerer
1709738	5974433	1	askerAnswerer
1709738	349130	1	askerAnswerer
8248670	2097240	1	askerAnswerer
8248670	7957846	1	askerAnswerer
3794110	7117003	1	askerAnswerer
6601767	5236005	1	askerAnswerer
1127387	1127387	1	askerAnswerer
8138533	1713850	1	askerAnswerer
8138533	2097240	1	askerAnswerer
4359305	7584913	1	askerAnswerer
4359305	4359305	1	askerAnswerer
3218279	5903959	1	askerAnswerer
9082644	8342910	1	askerAnswerer
12264499	1329739	1	askerAnswerer
12264499	2959389	1	askerAnswerer
11387015	8563649	1	askerAnswerer
1930011	5723385	1	askerAnswerer
10286273	1190882	1	askerAnswerer
10416670	9477338	1	askerAnswerer
10416670	12094550	1	askerAnswerer
4902934	4902934	1	askerAnswerer
4902934	12226012	1	askerAnswerer
4146344	2097240	1	askerAnswerer
1319915	5974433	1	askerAnswerer
9654709	9318372	1	askerAnswerer
12166442	7212365	1	askerAnswerer
12152654	5763590	1	askerAnswerer
1917160	1917160	1	askerAnswerer
11824234	5536259	1	askerAnswerer
10761064	1898734	1	askerAnswerer
10761064	9828197	1	askerAnswerer
2527680	552927	1	askerAnswerer
2527680	1507527	1	askerAnswerer
2527680	11480909	1	askerAnswerer
